日期,设备ID,设备名称,断连次数,重连成功次数,达到最大重连次数,恢复率(%),初始连接失败错误码,备注
2026/2/20,18,生产区西门门禁左进,20,22,15,100,,
2026/2/20,19,生产区西门门禁右进,17,19,15,100,,
2026/2/20,20,生产区西门门禁左出,23,25,15,100,,
2026/2/20,21,生产区西门门禁右出,6,8,17,100,,
2026/2/21,18,生产区西门门禁左进,19,20,17,100,,
2026/2/21,19,生产区西门门禁右进,19,19,24,100,,
2026/2/21,20,生产区西门门禁左出,2,2,13,100,,
2026/2/21,21,生产区西门门禁右出,2,2,22,100,,
2026/2/22,18,生产区西门门禁左进,21,21,21,100,,
2026/2/22,19,生产区西门门禁右进,24,24,24,100,,
2026/2/22,20,生产区西门门禁左出,12,13,24,100,,
2026/2/22,21,生产区西门门禁右出,9,8,25,88.9,,日终未完全恢复
2026/2/23,18,生产区西门门禁左进,11,11,18,100,,
2026/2/23,19,生产区西门门禁右进,11,11,19,100,,
2026/2/23,20,生产区西门门禁左出,11,11,24,100,,
2026/2/23,21,生产区西门门禁右出,7,8,14,100,,
2026/2/24,18,生产区西门门禁左进,25,25,14,100,,
2026/2/24,19,生产区西门门禁右进,26,26,22,100,,
2026/2/24,20,生产区西门门禁左出,40,39,14,97.5,,
2026/2/24,21,生产区西门门禁右出,19,18,23,94.7,,
2026/2/25,7,有限西门1进,1,1,0,100,,
2026/2/25,8,有限西门1出,1,1,0,100,,
2026/2/25,18,生产区西门门禁左进,5,5,23,100,,
2026/2/25,19,生产区西门门禁右进,15,16,15,100,,
2026/2/25,20,生产区西门门禁左出,22,23,16,100,,
2026/2/25,21,生产区西门门禁右出,6,7,25,100,,
2026/2/25,22,西门门禁右出,2,2,0,100,,
2026/2/25,23,西门门禁左进,1,1,0,100,,
2026/2/26,18,生产区西门门禁左进,1,1,20,100,,
2026/2/26,19,生产区西门门禁右进,27,27,19,100,,
2026/2/26,20,生产区西门门禁左出,20,18,27,90,,
2026/2/26,21,生产区西门门禁右出,5,4,23,80,,
2026/2/27,24,一发南门3进,0,0,0,,153,
2026/2/27,25,一发南门3出,0,0,0,,153,
2026/2/27,26,人脸录入仪,0,0,0,,7,
