门禁系统设备连接统计（2026-02-20 ~ 2026-02-27）,,,,,,,,,,,
,,,,,,,,,,,
=== 断连次数 ===,,,,,,,,,,,
设备ID,设备名称,所属区域,2月20日,2月21日,2月22日,2月23日,2月24日,2月25日,2月26日,2月27日,合计
7,有限西门1进,有限西门,-,-,-,-,-,1,-,-,1
8,有限西门1出,有限西门,-,-,-,-,-,1,-,-,1
18,生产区西门门禁左进,生产区西门,20,19,21,11,25,5,1,-,102
19,生产区西门门禁右进,生产区西门,17,19,24,11,26,15,27,-,139
20,生产区西门门禁左出,生产区西门,23,2,12,11,40,22,20,-,130
21,生产区西门门禁右出,生产区西门,6,2,9,7,19,6,5,-,54
22,西门门禁右出,西门,-,-,-,-,-,2,-,-,2
23,西门门禁左进,西门,-,-,-,-,-,1,-,-,1
当日合计,,,66,42,66,40,110,53,53,0,430
,,,,,,,,,,,
=== 重连成功次数 ===,,,,,,,,,,,
设备ID,设备名称,所属区域,2月20日,2月21日,2月22日,2月23日,2月24日,2月25日,2月26日,2月27日,合计
7,有限西门1进,有限西门,-,-,-,-,-,1,-,-,1
8,有限西门1出,有限西门,-,-,-,-,-,1,-,-,1
18,生产区西门门禁左进,生产区西门,22,20,21,11,25,5,1,-,105
19,生产区西门门禁右进,生产区西门,19,19,24,11,26,16,27,-,142
20,生产区西门门禁左出,生产区西门,25,2,13,11,39,23,18,-,131
21,生产区西门门禁右出,生产区西门,8,2,8,8,18,7,4,-,55
22,西门门禁右出,西门,-,-,-,-,-,2,-,-,2
23,西门门禁左进,西门,-,-,-,-,-,1,-,-,1
当日合计,,,74,43,66,41,108,56,50,0,438
,,,,,,,,,,,
=== 恢复率(%) ===,,,,,,,,,,,
设备ID,设备名称,所属区域,2月20日,2月21日,2月22日,2月23日,2月24日,2月25日,2月26日,,备注
18,生产区西门门禁左进,生产区西门,100,100,100,100,100,100,100,,全周期稳定恢复
19,生产区西门门禁右进,生产区西门,100,100,100,100,100,100,100,,全周期稳定恢复
20,生产区西门门禁左出,生产区西门,100,100,100,100,97.5,100,90,,2-24/2-26恢复不完全
21,生产区西门门禁右出,生产区西门,100,100,88.9,100,94.7,100,80,,2-22/2-24/2-26恢复不完全
,,,,,,,,,,,
=== 达到最大重连次数（含冷却后重试轮次） ===,,,,,,,,,,,
设备ID,设备名称,所属区域,2月20日,2月21日,2月22日,2月23日,2月24日,2月25日,2月26日,2月27日,合计
18,生产区西门门禁左进,生产区西门,15,17,21,18,14,23,20,-,128
19,生产区西门门禁右进,生产区西门,15,24,24,19,22,15,19,-,138
20,生产区西门门禁左出,生产区西门,15,13,24,24,14,16,27,-,133
21,生产区西门门禁右出,生产区西门,17,22,25,14,23,25,23,-,149
当日合计,,,62,76,94,75,73,79,89,0,548
